Date,Close,High,Low,Open,Volume,day_of_week,month,year,is_month_start,is_month_end,SMA_5,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,BB_middle,BB_std,BB_upper,BB_lower,daily_return,volatility_5d,volatility_20d,momentum_5d,momentum_20d,future_price_10d,future_return_10d,price_up_10d
2020-04-20,6881.95849609375,7240.29052734375,6835.5029296875,7186.87353515625,37747113936,0,4,2020,0,0,7108.407421875,6972.2054443359375,,6995.821855407804,6909.7550101494,86.0668452584041,82.95875424638336,41.14666215400093,6972.2054443359375,226.72785200265648,7425.661148341251,6518.749740330624,-0.04276646838190479,0.04255743256805849,0.03248354173752573,0.03611030798186965,0.06885206392310095,8658.5537109375,0.258152561636656,1
2020-04-21,6880.3232421875,6934.5517578125,6834.4423828125,6879.7841796875,32589741511,1,4,2020,0,0,7061.11123046875,6985.882788085937,,6978.052837989296,6907.574879189259,70.4779588000365,80.462595157114,42.9763838224771,6985.882788085937,211.24535405741437,7408.373496200766,6563.392079971109,-0.00023761461322069355,0.023620905003991326,0.03206389607101542,-0.03322853213486043,0.04140398581652738,8864.7666015625,0.2884229838515662,1
2020-04-22,7117.20751953125,7145.86572265625,6867.78173828125,6879.4404296875,33249153866,2,4,2020,0,0,7065.3158203125,7002.061938476562,,6999.461250534212,6923.103222918296,76.3580276159164,79.64168164887448,45.041416324200476,7002.061938476562,208.1137131873944,7418.289364851351,6585.834512101774,0.034429236680519004,0.030066897393873315,0.03235211080821656,0.002962570802724329,0.04763039335693797,8988.5966796875,0.2629386813607344,1
2020-04-23,7429.724609375,7491.78515625,7081.5947265625,7121.30615234375,43500782316,3,4,2020,0,0,7099.727734375,7036.87880859375,,7065.655613432795,6960.6307330262,105.024880406595,84.71832140041859,52.58629099649728,7036.87880859375,218.77409576569912,7474.427000125149,6599.330617062352,0.043910071328696176,0.03498714013086789,0.033481327771306434,0.023707290070075437,0.10341561845969727,8897.46875,0.19755027511692247,1
2020-04-24,7550.90087890625,7574.19580078125,7434.181640625,7434.181640625,34636526286,4,4,2020,0,0,7172.02294921875,7071.0474853515625,,7140.308731197942,7004.354447535833,135.95428366210854,94.96551385275659,65.9240513566439,7071.0474853515625,242.96077171773962,7556.969028787042,6585.125941916083,0.016309658285092787,0.034187205721726205,0.033408876553403764,0.050278858745844035,0.09950794528370888,8912.654296875,0.18034317226608865,1
2020-04-25,7569.93603515625,7641.36376953125,7521.67236328125,7550.48291015625,32941541447,5,4,2020,0,0,7309.61845703125,7109.987817382813,,7206.4052394992195,7046.24937995216,160.15585954705966,108.00358299161721,66.41890274862087,7109.987817382813,257.700096364948,7625.388010112709,6594.587624652917,0.002520911948821203,0.01940818362924119,0.033194902360707414,0.09996827784605222,0.11467998846438654,9003.0703125,0.1893192056957942,1
2020-04-26,7679.8671875,7700.59423828125,7561.40771484375,7570.13916015625,33070154491,6,4,2020,0,0,7469.52724609375,7130.392114257813,,7279.245539191647,7093.184032363111,186.06150682853604,123.61516775900098,66.38664189732887,7130.392114257813,285.80782360948444,7702.0077614767815,6558.776467038844,0.014522071498782596,0.016595924847009787,0.029602795821705396,0.11620732299465275,0.05611911627567179,9268.76171875,0.20689088658149402,1
2020-04-27,7795.60107421875,7795.60107421875,7679.4189453125,7679.4189453125,36162144725,0,4,2020,0,0,7605.20595703125,7161.3514404296875,,7358.68485227274,7145.214924352418,213.46992792032142,141.58611979126508,72.08207539208293,7161.3514404296875,322.2659433726846,7805.883327175056,6516.819553684319,0.015069777105927384,0.01527567763684986,0.029458348298880763,0.09531737733174594,0.08628076305459431,9951.5185546875,0.2765556446440929,1
2020-04-28,7807.05859375,7814.52734375,7730.806640625,7796.97021484375,33187959921,1,4,2020,0,0,7680.67275390625,7184.999438476562,,7427.665427884625,7194.240381344832,233.42504653979358,159.9539051409708,72.31712860666102,7184.999438476562,351.6250250090899,7888.249488494742,6481.749388458383,0.001469741643032707,0.007325696179546276,0.0291758144946057,0.05078707545887662,0.06448781024316941,9842.666015625,0.2607393549607302,1
2020-04-29,8801.0380859375,8871.75390625,7786.04931640625,7806.71240234375,60201052203,2,4,2020,0,0,7930.7001953125,7259.946875,,7638.953529123529,7313.262433536881,325.69109558664786,193.1013432301062,86.53192950218416,7259.946875,504.4377538480297,8268.822382696058,6251.07136730394,0.1273180520232342,0.05356909692521518,0.04010957812888136,0.16556133196286016,0.20527668965679569,9593.896484375,0.09008691823574178,1
2020-04-30,8658.5537109375,9440.650390625,8533.255859375,8797.669921875,66964629541,3,4,2020,0,1,8148.42373046875,7349.59990234375,,7795.815095556447,7412.91363927026,382.90145628618666,231.0613658413223,79.39307067046299,7349.59990234375,583.7467704343624,8517.093443212474,6182.106361475026,-0.01618949646720247,0.05671976625755821,0.03718850742807056,0.14380804153766924,0.26116995589782177,8756.4306640625,0.011304076453479972,1
